id,email,first_name,last_name,birthdate,password,salt,gender,bank_api_key,registration_time,last_logon_time,type,address_street,address_supplement,address_city,address_postcode,address_country_code,newsletters,is_activated,is_deleted,role_id,activity_id,partner_id,
1,"huangfanny44@gmail.com","Fanny","Huang","1997-11-13","$2b$12$dGEIRlGB8dWTkv1phNXZOOFxNyT9PzMJ8AczIjzFv4jvxRdSznY8a",NULL,"F",NULL,NULL,NULL,"STAFF",NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,1,0,NULL,NULL,NULL,
2,"tom@test.com","Tom","Miche","1967-09-29","$2b$12$dGEIRlGB8dWTkv1phNXZOOFxNyT9PzMJ8AczIjzFv4jvxRdSznY8a",NULL,"M",NULL,NULL,NULL,"TOURIST",NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,0,NULL,NULL,NULL,
3,"Alice@test.com","Alice","Gauthier","1989-09-29","$2b$12$dGEIRlGB8dWTkv1phNXZOOFxNyT9PzMJ8AczIjzFv4jvxRdSznY8a",NULL,"F",NULL,NULL,NULL,"TOURIST",NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,0,NULL,NULL,NULL,
4,"brice@test.com","Brice","Desmares","1977-09-29","$2b$12$dGEIRlGB8dWTkv1phNXZOOFxNyT9PzMJ8AczIjzFv4jvxRdSznY8a",NULL,"M",NULL,NULL,NULL,"TOURIST",NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,0,NULL,NULL,NULL,
5,"hercule@test.com","Hercule","Poirot","1947-09-29","$2b$12$dGEIRlGB8dWTkv1phNXZOOFxNyT9PzMJ8AczIjzFv4jvxRdSznY8a",NULL,"M",NULL,NULL,NULL,"TOURIST",NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,0,NULL,NULL,NULL,
6,"Olive@test.com","Olive","Desbois","1947-09-29","$2b$12$dGEIRlGB8dWTkv1phNXZOOFxNyT9PzMJ8AczIjzFv4jvxRdSznY8a",NULL,"M",NULL,NULL,NULL,"TOURIST",NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,0,NULL,NULL,NULL,
7,"artur@test.com","Artur","Deschamps","1967-09-29","$2b$12$dGEIRlGB8dWTkv1phNXZOOFxNyT9PzMJ8AczIjzFv4jvxRdSznY8a",NULL,"M",NULL,NULL,NULL,"TOURIST",NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,0,NULL,NULL,NULL,
8,"monica@test.com","Monica","Durand","1967-09-29","$2b$12$dGEIRlGB8dWTkv1phNXZOOFxNyT9PzMJ8AczIjzFv4jvxRdSznY8a",NULL,"F",NULL,NULL,NULL,"TOURIST",NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,0,NULL,NULL,NULL,
9,"chandler@test.com","Chandler","Bean","1967-09-29","$2b$12$dGEIRlGB8dWTkv1phNXZOOFxNyT9PzMJ8AczIjzFv4jvxRdSznY8a",NULL,"M",NULL,NULL,NULL,"TOURIST",NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,0,NULL,NULL,NULL,
10,"rachel@test.com","Rachel","Smith ","1967-09-29","$2b$12$dGEIRlGB8dWTkv1phNXZOOFxNyT9PzMJ8AczIjzFv4jvxRdSznY8a",NULL,"F",NULL,NULL,NULL,"TOURIST",NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,0,NULL,NULL,NULL,
11,"raymond@test.com","Raymond","De La Place","1957-02-28","$2b$12$dGEIRlGB8dWTkv1phNXZOOFxNyT9PzMJ8AczIjzFv4jvxRdSznY8a",NULL,"F",NULL,NULL,NULL,"PARTNER",NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,1,0,NULL,1,1,
